onset	duration	trial_type	response_time	Endowment	Decision	Offer
4.511782	2	cue_nonsocial	n/a	32	n/a	n/a
4.511782	2	cue_nonsocial_high	n/a	32	n/a	n/a
6.517532	2.116016	dec_nonsocial_high	2.116016	32	n/a	8
6.517532	2.116016	dec_nonsocial_high_accept	2.116016	32	accept	8
12.162523	2	cue_nonsocial	n/a	32	n/a	n/a
12.162523	2	cue_nonsocial_high	n/a	32	n/a	n/a
14.167255	1.483297	dec_nonsocial_high	1.483297	32	n/a	2
14.167255	1.483297	dec_nonsocial_high_accept	1.483297	32	accept	2
21.445946	2	cue_social	n/a	32	n/a	n/a
21.445946	2	cue_social_high	n/a	32	n/a	n/a
23.416683	1.133711	dec_social_high	1.133711	32	n/a	3
23.416683	1.133711	dec_social_high_accept	1.133711	32	accept	3
28.279444	2	cue_social	n/a	16	n/a	n/a
28.279444	2	cue_social_low	n/a	16	n/a	n/a
30.250265	1.266592	dec_social_low	1.266592	16	n/a	1
30.250265	1.266592	dec_social_low_accept	1.266592	16	accept	1
35.078460	2	cue_nonsocial	n/a	32	n/a	n/a
35.078460	2	cue_nonsocial_high	n/a	32	n/a	n/a
37.084846	0.999286	dec_nonsocial_high	0.999286	32	n/a	2
37.084846	0.999286	dec_nonsocial_high_accept	0.999286	32	accept	2
41.912617	2	cue_nonsocial	n/a	32	n/a	n/a
41.912617	2	cue_nonsocial_high	n/a	32	n/a	n/a
43.916813	1.266631	dec_nonsocial_high	1.266631	32	n/a	3
43.916813	1.266631	dec_nonsocial_high_accept	1.266631	32	accept	3
51.288727	2	cue_social	n/a	16	n/a	n/a
51.288727	2	cue_social_low	n/a	16	n/a	n/a
53.167750	1.032699	dec_social_low	1.032699	16	n/a	8
53.167750	1.032699	dec_social_low_accept	1.032699	16	accept	8
60.430880	2	cue_nonsocial	n/a	32	n/a	n/a
60.430880	2	cue_nonsocial_high	n/a	32	n/a	n/a
62.435066	1.382732	dec_nonsocial_high	1.382732	32	n/a	8
62.435066	1.382732	dec_nonsocial_high_accept	1.382732	32	accept	8
68.079130	2	cue_nonsocial	n/a	16	n/a	n/a
68.079130	2	cue_nonsocial_low	n/a	16	n/a	n/a
70.084450	1.183459	dec_nonsocial_low	1.183459	16	n/a	4
70.084450	1.183459	dec_nonsocial_low_accept	1.183459	16	accept	4
75.723915	2	cue_social	n/a	32	n/a	n/a
75.723915	2	cue_social_high	n/a	32	n/a	n/a
77.734160	0.983819	dec_social_high	0.983819	32	n/a	16
77.734160	0.983819	dec_social_high_accept	0.983819	32	accept	16
82.570220	2	cue_social	n/a	32	n/a	n/a
82.570220	2	cue_social_high	n/a	32	n/a	n/a
84.568214	1.065908	dec_social_high	1.065908	32	n/a	3
84.568214	1.065908	dec_social_high_accept	1.065908	32	accept	3
89.396390	2	cue_nonsocial	n/a	32	n/a	n/a
89.396390	2	cue_nonsocial_high	n/a	32	n/a	n/a
91.401900	1.015975	dec_nonsocial_high	1.015975	32	n/a	16
91.401900	1.015975	dec_nonsocial_high_accept	1.015975	32	accept	16
97.045890	2	cue_nonsocial	n/a	32	n/a	n/a
97.045890	2	cue_nonsocial_high	n/a	32	n/a	n/a
99.051670	0.833906	dec_nonsocial_high	0.833906	32	n/a	8
99.051670	0.833906	dec_nonsocial_high_accept	0.833906	32	accept	8
106.304665	2	cue_social	n/a	16	n/a	n/a
106.304665	2	cue_social_low	n/a	16	n/a	n/a
108.317470	1.000799	dec_social_low	1.000799	16	n/a	4
108.317470	1.000799	dec_social_low_accept	1.000799	16	accept	4
113.963230	2	cue_nonsocial	n/a	32	n/a	n/a
113.963230	2	cue_nonsocial_high	n/a	32	n/a	n/a
115.969310	0.732416	dec_nonsocial_high	0.732416	32	n/a	3
115.969310	0.732416	dec_nonsocial_high_accept	0.732416	32	accept	3
121.718520	2	cue_social	n/a	32	n/a	n/a
121.718520	2	cue_social_high	n/a	32	n/a	n/a
123.618950	1.065999	dec_social_high	1.065999	32	n/a	16
123.618950	1.065999	dec_social_high_accept	1.065999	32	accept	16
128.446850	2	cue_nonsocial	n/a	16	n/a	n/a
128.446850	2	cue_nonsocial_low	n/a	16	n/a	n/a
130.451780	0.816427	dec_nonsocial_low	0.816427	16	n/a	2
130.451780	0.816427	dec_nonsocial_low_accept	0.816427	16	accept	2
137.778490	2	cue_social	n/a	16	n/a	n/a
137.778490	2	cue_social_low	n/a	16	n/a	n/a
139.718640	0.783119	dec_social_low	0.783119	16	n/a	8
139.718640	0.783119	dec_social_low_accept	0.783119	16	accept	8
145.362640	2	cue_nonsocial	n/a	32	n/a	n/a
145.362640	2	cue_nonsocial_high	n/a	32	n/a	n/a
147.368960	0.833149	dec_nonsocial_high	0.833149	32	n/a	2
147.368960	0.833149	dec_nonsocial_high_accept	0.833149	32	accept	2
152.197800	2	cue_nonsocial	n/a	16	n/a	n/a
152.197800	2	cue_nonsocial_low	n/a	16	n/a	n/a
154.203170	1.015823	dec_nonsocial_low	1.015823	16	n/a	8
154.203170	1.015823	dec_nonsocial_low_accept	1.015823	16	accept	8
163.080050	2	cue_social	n/a	32	n/a	n/a
163.080050	2	cue_social_high	n/a	32	n/a	n/a
165.069470	0.749418	dec_social_high	0.749418	32	n/a	8
165.069470	0.749418	dec_social_high_accept	0.749418	32	accept	8
170.724490	2	cue_social	n/a	32	n/a	n/a
170.724490	2	cue_social_high	n/a	32	n/a	n/a
172.719270	1.183043	dec_social_high	1.183043	32	n/a	2
172.719270	1.183043	dec_social_high_accept	1.183043	32	accept	2
177.681560	2	cue_social	n/a	32	n/a	n/a
177.681560	2	cue_social_high	n/a	32	n/a	n/a
