xml_index	nifti_value	roi_name	native_atlas_voxels	reference_grid_voxels	dualtask_covered_voxels	coverage_fraction_reference_roi	mni_centroid_x_mm	mni_centroid_y_mm	mni_centroid_z_mm	tg_mean_subject_zstat_recip_gt_nonrecip	tg_sd_subject_zstat_recip_gt_nonrecip	tg_sem_subject_zstat_recip_gt_nonrecip	ug_mean_subject_zstat_fairness_pmod	ug_sd_subject_zstat_fairness_pmod	ug_sem_subject_zstat_fairness_pmod	signed_odr_residual
0	1	Frontal Pole	120948	5568	4956	0.8900862068965517	2.868581855027689	51.40078672009	10.35397779090064	0.037954274380033966	0.4026680427313918	0.03504775450347473	-0.06339643516673402	0.5035290655439486	0.04382657971772676	-0.11863246667219533
1	2	Insular Cortex	21449	976	976	1.0	-0.21250173449516296	1.8848349862411373	0.3024597128883737	-0.03225286869237969	0.5041598783462732	0.04388148492471451	0.08655019979569506	0.5066763459105643	0.044100515312154684	0.0445820502528409
2	3	Superior Frontal Gyrus	45246	2058	1153	0.5602526724975705	-0.3638352150515898	28.384734861352396	48.685551899780116	-0.10387133559002602	0.5306157281496949	0.046184171084762346	-0.12481652768603586	0.6391505983931373	0.05563091898547948	-0.08822241803148693
3	4	Middle Frontal Gyrus	45499	2043	1769	0.8658835046500245	0.15743185033091991	20.164781606419737	39.743522840141914	-0.012590598747101415	0.5534213019018371	0.04816914149551119	0.019234143320438726	0.6651215519402363	0.05789140034368613	-0.021930199661366744
4	5	Inferior Frontal Gyrus, pars triangularis	9503	436	436	1.0	-2.531653151599639	28.401604893557522	8.183188845805072	-0.1962170492836695	0.6156832271883709	0.05358834650009549	-0.15662447047097078	0.6626225501364323	0.05767389015556851	-0.061698511705040926
5	6	Inferior Frontal Gyrus, pars opercularis	11674	538	538	1.0	-1.8297415400083181	15.102601384584789	16.040075197538922	-0.18257774138893246	0.6488230054255064	0.05647279395730159	-0.02249283416102322	0.6555857099054342	0.05706141182919505	0.040715412462546036
6	7	Precentral Gyrus	70031	3243	1691	0.5214307739747148	-1.6573051307978255	-5.303135446371376	36.274152432723135	0.08473324403955046	0.4768100306699858	0.04150098623759776	0.1188016393042417	0.5611523860872877	0.04884204600201089	0.004372786664420997
7	8	Temporal Pole	37827	1806	1593	0.8820598006644518	-0.08983224080331806	11.649151635484282	-27.64389787779914	-0.22896192678310306	0.3633577776350564	0.031626235101991154	-0.09660025807561655	0.4156567916804004	0.03617827998889495	0.00628295669693528
8	9	Superior Temporal Gyrus, anterior division	4482	195	195	1.0	0.4538444311190874	-2.464616540762094	-8.868460930310762	-0.14359587902766244	0.5802444920581784	0.05050380052934612	0.02207349117148974	0.6000265370229806	0.0522256065380876	0.055100191467406856
9	10	Superior Temporal Gyrus, posterior division	6488	308	308	1.0	-0.11169004440307617	-26.43311846256256	3.031072151351285	-0.09054732679529372	0.6029999524207224	0.052484409129398335	-0.044083065752634515	0.6096657869692472	0.05306459555599619	-0.029496020312955937
10	11	Middle Temporal Gyrus, anterior division	6952	336	335	0.9970238095238095	-1.263285335142221	-3.0331354945453244	-23.194477141793094	-0.16590110202611702	0.48310328955388826	0.04204874411501382	-0.15722966826188536	0.6508437806803248	0.05664867986708762	-0.07948152312761878
11	12	Middle Temporal Gyrus, posterior division	21879	1041	1012	0.9721421709894332	-0.30454719066619873	-24.81403317140496	-11.091521152394563	-0.1407491127884562	0.41185002941553445	0.03584694386297072	-0.07448778074075928	0.5754592044212189	0.05008729470188827	-0.02584936693590296
12	13	Middle Temporal Gyrus, temporooccipital part	16041	729	727	0.9972565157750343	8.168361549692271	-50.87909417073697	1.4533707213369	-0.051780043395882616	0.5768320366070622	0.050206784406354336	0.09748077065088734	0.6463039134985354	0.05625353514840958	0.06469584790732731
13	14	Inferior Temporal Gyrus, anterior division	5385	256	169	0.66015625	-0.7017768910650671	-3.157989334072587	-38.943372462628155	-0.3453158777856016	0.5447384068489299	0.04741339248665149	-0.18826992682412655	0.6255956648086463	0.0544511134529678	-0.0026810930486671626
14	15	Inferior Temporal Gyrus, posterior division	15745	744	451	0.6061827956989247	-1.193571596610837	-24.96252926966039	-25.671950773230677	-0.013497269022910936	0.34846383324950964	0.0303298836387059	-0.005650530455545963	0.3896161429875956	0.03391173244689032	-0.04185631454518102
15	16	Inferior Temporal Gyrus, temporooccipital part	11973	582	536	0.9209621993127147	2.8753714543669973	-51.90112143221186	-16.279253194581216	0.14826793019275852	0.6472803283361451	0.056338521151495305	0.2004785091843315	0.6560524640441037	0.05710203756237865	0.03524460775609244
16	17	Postcentral Gyrus	55269	2556	1150	0.44992175273865415	-6.529914889542953	-20.042610162237416	37.37089670575183	0.1462530657470473	0.5295741820135795	0.04609351612979	0.09898194832137139	0.5938417184183489	0.05168728717548486	-0.04698730526219043
17	18	Superior Parietal Lobule	23450	1062	381	0.3587570621468927	0.8637778120716726	-47.54409644046793	48.70984368249187	0.2418384045853005	0.6608959071801805	0.05752360517632014	0.2752864631472776	0.7320545922289169	0.06371717372340703	0.04334743383765578
18	19	Supramarginal Gyrus, anterior division	13831	642	540	0.8411214953271028	-7.995001871939059	-30.295001647648988	35.34900103410085	0.12668477328339955	0.691469243006692	0.06018467249403288	0.2694021320787778	0.6897046961012571	0.06003108839947188	0.10417276424095062
19	20	Supramarginal Gyrus, posterior division	18720	857	740	0.8634772462077013	2.7921604807312423	-43.13919106367472	30.03154152341791	-0.10100227673833037	0.5844141944758623	0.05086672654079772	0.13686226000383675	0.5682066999157901	0.04945604520983168	0.1251142607817305
20	21	Angular Gyrus	19542	869	788	0.906789413118527	8.475125322487148	-53.40837769036366	29.002615186163617	-0.22043478101561065	0.553215763039204	0.0481512516338037	-0.04409884664268853	0.7503641227436816	0.06531081380023682	0.04455147215206539
21	22	Lateral Occipital Cortex, superior division	78196	3636	3020	0.8305830583058306	-0.051127559459762065	-73.10771763553683	34.07817320728934	0.13272535719923162	0.5391063045481436	0.0469231809033397	0.21102758523267026	0.5967545940915863	0.051940820460128635	0.05277302450422233
22	23	Lateral Occipital Cortex, inferior division	32849	1503	1503	1.0	0.9077827164274965	-74.68383476691332	-1.4511370449484942	0.16110604052248337	0.6625301950216725	0.05766585167462205	0.2373725321839756	0.7098577701684559	0.061785188346431645	0.05823338060609434
23	24	Intracalcarine Cortex	11317	514	514	1.0	1.5721772853502503	-74.37432149226564	8.450020230233902	0.2886367742036745	0.854375403846092	0.0743638338038652	0.38463450817613476	1.0381958341318678	0.090363348614323	0.10649436258057161
24	25	Frontal Medial Cortex	7796	372	282	0.7580645161290323	0.4553174262351178	44.55957414241547	-16.760105850848745	0.14491536040799774	0.5336276506049292	0.0464463252852261	0.03770036991289647	0.7402628700737387	0.06443161260673687	-0.09656818715963757
25	26	Juxtapositional Lobule Cortex (formerly Supplementary Motor Cortex)	11954	533	296	0.5553470919324578	0.07939016255172524	-2.5114876434609696	50.40212955748713	0.0996448516490059	0.7494568757345567	0.06523184808387616	0.19108804236722726	0.7899543403565161	0.06875669994064593	0.05525458166999888
26	27	Subcallosal Cortex	9021	424	260	0.6132075471698113	0.06269057805721577	20.21538385978112	-10.543845561834482	0.09811128470902801	0.4089817757972185	0.03559729442968928	0.025256953632559424	0.48340744997745067	0.04207521788179794	-0.08010342785806182
27	28	Paracingulate Gyrus	23252	1057	1057	1.0	0.41683839014823865	36.758656111774066	21.87391764980053	0.011155024674014196	0.609645096151741	0.05306279465149055	-0.020332057408205977	0.6483781807359944	0.05643407693767085	-0.06797386105963937
28	29	Cingulate Gyrus, anterior division	20844	944	944	1.0	0.8343203178906845	18.61874921619892	24.210382282733917	0.03602888564711412	0.5667738937738767	0.049331335442520066	0.1457150238670687	0.5811539917744138	0.050582962318693435	0.054253199674141925
29	30	Cingulate Gyrus, posterior division	19228	875	875	1.0	0.8956554279327392	-36.61611604499817	30.025440982818605	0.10412614771485472	0.6813319067884275	0.059302330630777736	0.1428310482642495	0.6639547844181535	0.057789846266041424	0.01305563484858329
30	31	Precuneous Cortex	44787	2034	1797	0.883480825958702	0.9968263336069132	-59.63289031268626	34.89851522007848	0.10680213975510866	0.6162801421507789	0.05364030127882592	0.13590858048398918	0.6503244723540459	0.05660347987900917	0.005842913545865867
31	32	Cuneal Cortex	9934	451	451	1.0	1.1292665818842447	-79.51929298261317	27.432439982230278	0.12468766718594386	0.7645805612727532	0.06654819594782634	0.1676513218574818	0.8803830299133188	0.07662750709524278	0.02172185638834772
32	33	Frontal Orbital Cortex	25157	1201	1082	0.9009159034138218	-2.1719980722434418	23.697781191295263	-15.457457865672719	-0.12399287779053816	0.3928867957509421	0.034196406230134514	-0.07630500170672153	0.4518096288627815	0.0393249805653234	-0.03689646649380627
33	34	Parahippocampal Gyrus, anterior division	9956	461	452	0.9804772234273319	1.5287593582035166	-8.902434898161255	-30.170309331564777	-0.023080381025227584	0.31718397047886826	0.027607321043841324	-0.020418754885252424	0.4365936671512565	0.03800060109139645	-0.04852441688197873
34	35	Parahippocampal Gyrus, posterior division	5698	265	265	1.0	-1.2784923193589697	-31.632454501457936	-16.242452293072105	0.06106019816631961	0.4786958791650033	0.04166512828034787	0.06122670773690123	0.5545307058124117	0.04826570271164165	-0.029427660180275917
35	36	Lingual Gyrus	26880	1235	1235	1.0	1.4318201568927842	-64.79635853226851	-4.8226876119853035	0.19722587635279498	0.633194274845823	0.05511248756486438	0.21060985790133535	0.7578652042083953	0.06596369913949186	0.01565234014082809
36	37	Temporal Fusiform Cortex, anterior division	4901	218	141	0.6467889908256881	-0.5787251452182202	-3.5808522396899285	-40.02510607496221	-0.09431839763099453	0.5363392138473269	0.046682336571832204	-0.03723333614192152	0.6130203498165668	0.05335657277460493	-0.021718651997730046
37	38	Temporal Fusiform Cortex, posterior division	12680	622	581	0.9340836012861736	-4.349055163831596	-27.84733379030802	-25.292787846107284	-0.01159542438838326	0.3647594385063019	0.03174823402144677	0.03106548559784884	0.3991679020832688	0.03474310636370447	-0.012778033384855357
38	39	Temporal Occipital Fusiform Cortex	11759	553	553	1.0	5.389510118508641	-51.49367290810694	-16.198371976021186	0.08048869011840808	0.6554508380790136	0.05704967274349617	0.1929834496626695	0.706951548316125	0.06153223420256115	0.06773432513255302
39	40	Occipital Fusiform Gyrus	14538	654	654	1.0	-0.06284576854939125	-75.93440612339464	-12.540962729978999	0.5210436511862971	0.8371215719445221	0.07286208049702574	0.2820054612054903	0.8573509442583254	0.07462282135394672	-0.11033270763721897
40	41	Frontal Operculum Cortex	5313	238	238	1.0	-1.582354699864107	18.302520219017477	4.783236033776227	-0.3599827471019965	0.6087601548429952	0.05298577039714813	0.012933180987429318	0.747120190987529	0.06502846578214116	0.17097281601069833
41	42	Central Opercular Cortex	14953	682	682	1.0	-1.5476557170191119	-7.449414733917482	11.730484677549681	0.11390314950085806	0.6826119415165857	0.059413743353287564	0.134112521931929	0.6663096648539418	0.05799481229920041	0.0003185068110533736
42	43	Parietal Operculum Cortex	8739	394	394	1.0	0.9027901633741892	-29.86218438112191	21.238401913400835	0.08869485640596937	0.7516960324620195	0.06542674166109326	0.13093155657463199	0.736922814052706	0.06414089804528582	0.012078804578032488
43	44	Planum Polare	5871	262	262	1.0	3.067173895945076	-5.138932501086752	-6.512632956941619	-0.051948847656691215	0.567384267937581	0.049384461694356854	0.08170136531158087	0.5575921250412711	0.04853216505327042	0.05182910807996473
44	45	Heschl's Gyrus (includes H1 and H2)	4730	217	217	1.0	0.15299366366478703	-18.958065963560536	7.49198233257241	0.06049702455280709	0.62052004678397	0.05400933760883673	0.0024229777153222673	0.7147102290369379	0.06220754067915504	-0.07741458666980022
